Sample	tsne1	tsne2	Patient	Position	Cluster	Cluster
P1_T1_Villus_B1_60	1.03732192797546	-7.84687022013456	P1	Villus	5	Enter-1
P1_T1_Villus_B1_61	6.64717905981753	-3.96790881318397	P1	Villus	5	Enter-1
P1_T1_Villus_B1_62	9.01709656103423	-2.60633670811976	P1	Villus	5	Enter-1
P1_T1_Villus_B1_63	3.1948460371391	7.93415081274178	P1	Villus	5	Enter-1
P1_T1_Villus_B1_64	13.9416499522286	-0.652856172382864	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_66	9.70083516099851	2.88356343299124	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_67	11.2404122266971	3.29786194141706	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_68	10.8470853468915	-2.86350918176047	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_70	9.27233003756291	0.469094195078142	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_71	4.2832897064275	-5.56178959617686	P1	Villus	5	Enter-1
P1_T1_Villus_B1_73	5.70306260518675	4.74224679562853	P1	Villus	5	Enter-1
P1_T1_Villus_B1_75	10.9973847166966	-6.07011571475982	P1	Villus	7	Endocrine
P1_T1_Villus_B1_77	4.22136147012742	-5.19846590259154	P1	Villus	2	Enter-2
P1_T1_Villus_B1_78	15.792047312136	7.24497224793838	P1	Villus	9	Immune
P1_T1_Villus_B1_79	10.8529285034876	3.88950492895961	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_8	-1.20605107768636	-7.52831460568123	P1	Villus	5	Enter-1
P1_T1_Villus_B1_80	13.2641333477642	3.58964683918742	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_81	-3.16748442339652	-7.15323341452078	P1	Villus	6	MKI67-high
P1_T1_Villus_B1_82	-16.8777550020712	-12.2792367717291	P1	Villus	1	Goblet-1
P1_T1_Villus_B1_83	-16.5517889868058	-7.32374907134008	P1	Villus	1	Goblet-1
P1_T1_Villus_B1_84	2.94705282631831	-5.32394751523585	P1	Villus	2	Enter-2
P1_T1_Villus_B1_86	4.30936643505346	4.69547502816563	P1	Villus	7	Endocrine
P1_T1_Villus_B1_87	6.91401755906932	5.64111899917697	P1	Villus	5	Enter-1
P1_T1_Villus_B1_89	10.3289475139019	1.26891118151718	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_9	12.8455105278521	2.63855084945599	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_90	-9.72327606003025	-7.16546947624234	P1	Villus	2	Enter-2
P1_T1_Villus_B1_91	14.3969634576583	6.19786754367629	P1	Villus	9	Immune
P1_T1_Villus_B1_94	10.6438287733723	-2.48370457044768	P1	Villus	4	Goblet-2
P1_T1_Villus_B2_1	13.4922160304697	-0.251236563869632	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_10	7.82821278318518	-3.0487531504045	P1	Villus	5	Enter-1
P1_T1_Villus_B2_12	11.9639576950242	0.0568988034427792	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_14	12.3886451128287	-1.64594786505572	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_15	11.0936988983846	-0.96359562726814	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_16	10.9602121065481	-2.97034528193051	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_17	14.742546449423	5.94167935882607	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_18	12.5194514399476	-1.4585255496811	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_2	-0.290861961575289	-10.5393802605979	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_22	13.0765583029382	-0.874318489950111	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_24	13.115023820878	0.131012208353589	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_25	13.0047331413614	-0.774984614081072	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_27	12.3095478272149	-0.235684033538794	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_31	12.8105584526709	-0.805994936400617	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_35	11.078430607729	-0.891407816343748	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_37	12.8639732146352	-0.355361827273353	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_39	12.8403693549562	-1.52060844145357	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_40	11.2762567478851	-0.810839562256088	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_41	13.1925191200501	-1.6572748562812	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_45	8.42246572843517	-2.41671411780763	P1	Villus	5	Enter-1
P1_T1_Villus_B2_47	12.7245042743516	-0.529115966910817	P1	Villus	10	OLFMGoblet-2-high
